CODIGO_CONTABLE,NOMBRE_CUENTA,TIPO,GRUPO,PADRE JULIAN LORENTE LTDA,
1,ACTIVO,1,1,109136839.74,
11,FONDOS DISPONIBLES,1,2,9936818.79,
1101,Caja,1,4,3044245.43,
110105,Efectivo,1,6,3042467.92,
110110,Caja chica,1,6,1777.51,
1102,Depósitos para encaje,1,4,1624450,
110205,Banco Central del Ecuador,1,6,1624450,
1103,Bancos y otras instituciones financieras,1,4,5267336.22,
110305,Banco Central del Ecuador,1,6,899144.3,
110310,Bancos e instituciones financieras locales,1,6,2799473.77,
110315,Bancos e instituciones financieras del exterior,1,6,0,
110320,Instituciones del sector financiero popular y solidario,1,6,1568718.15,
1104,Efectos de cobro inmediato,1,4,787.14,
110401,Efectos de cobro inmediato,1,6,787.14,
1105,Remesas en tránsito,1,4,0,
110505,Del país,1,6,0,
110510,Del exterior,1,6,0,
12,OPERACIONES INTERFINANCIERAS,1,2,0,
1201,Fondos interfinancieros vendidos,1,4,0,
120105,Bancos,1,6,0,
120110,Otras instituciones del sistema financiero,1,6,0,
120115,Instituciones del sector financiero popular y solidario,1,6,0,
1202,Operaciones de reporto con instituciones financieras,1,4,0,
120205,Instituciones financieras públicas,1,6,0,
120210,Bancos,1,6,0,
120215,Otras instituciones del sistema financiero,1,6,0,
120220,Instituciones del sector financiero popular y solidario,1,6,0,
1299,(Provisión para operaciones interfinancieras y de reporto),1,4,0,
129905,(Provisión fondos interfinancieros vendidos),1,6,0,
129910,(Provisión para operaciones de reporto con instituciones financieras),1,6,0,
13,INVERSIONES,1,2,6081194.78,
1301,A valor razonable con cambios en el estado de resultados de entidades del sector privado y sector financiero popular y solidario,1,4,0,
130105,De 1 a 30 días sector privado,1,6,0,
130110,De 31 a 90 días sector privado,1,6,0,
130115,De 91 a 180 días sector privado,1,6,0,
130120,De 181 a 360 días sector privado,1,6,0,
130125,De más de 360 días sector privado,1,6,0,
130150,De 1 a 30 días sector financiero popular y solidario,1,6,0,
130155,De 31 a 90 días sector financiero popular y solidario,1,6,0,
130160,De 91 a 180 días sector financiero popular y solidario,1,6,0,
130165,De 181 a 360 días sector financiero popular y solidario,1,6,0,
130170,De más de 360 días sector financiero popular y solidario,1,6,0,
1302,A valor razonable con cambios en el estado de resultados del Estado o de entidades del sector público,1,4,0,
130205,De 1 a 30 días,,,0,
130210,De 31 a 90 días,1,6,0,
130215,De 91 a 180 días,1,6,0,
130220,De 181 a 360 días,1,6,0,
130225,De más de 360 días,1,6,0,
1303,Disponibles para la venta de entidades del sector privado y sector financiero popular y solidario,1,4,0,
130305,De 1 a 30 días sector privado,1,6,0,
130310,De 31 a 90 días sector privado,1,6,0,
130315,De 91 a 180 días sector privado,1,6,0,
130320,De 181 a 360 días sector privado,1,6,0,
130325,De más de 360 días sector privado,1,6,0,
130350,De 1 a 30 días sector financiero popular y solidario,1,6,0,
130355,De 31 a 90 días sector financiero popular y solidario,1,6,0,
130360,De 91 a 180 días sector financiero popular y solidario,1,6,0,
130365,De 181 a 360 días sector financiero popular y solidario,1,6,0,
130370,De más de 360 días sector financiero popular y solidario,1,6,0,
1304,Disponibles para la venta del Estado o de entidades del sector público,1,4,0,
130405,De 1 a 30 días,,,0,
130410,De 31 a 90 días,1,6,0,
130415,De 91 a 180 días,1,6,0,
130420,De 181 a 360 días,1,6,0,
130425,De más de 360 días,1,6,0,
1305,Mantenidas hasta su vencimiento de entidades del sector privado y sector financiero popular y solidario,1,4,6081194.78,
130505,De 1 a 30 días sector privado,1,6,617381.98,
130510,De 31 a 90 días sector privado,1,6,1000000,
130515,De 91 a 180 días sector privado,1,6,0,
130520,De 181 días a 1 año sector privado,1,6,0,
130525,De 1 a 3 años sector privado,1,6,0,
130530,De 3 a 5 años sector privado,1,6,0,
130535,De 5 a 10 años sector privado,1,6,0,
130540,De más de 10 años sector privado,1,6,0,
130550,De 1 a 30 días sector financiero popular y solidario,1,6,1820446.4,
130555,De 31 a 90 días sector financiero popular y solidario,1,6,892782.83,
130560,De 91 a 180 días sector financiero popular y solidario,1,6,1750583.57,
130565,De 181 días a 1 año sector financiero popular y solidario,1,6,0,
130570,De 1 a 3 años sector financiero popular y solidario,1,6,0,
130575,De 3 a 5 años sector financiero popular y solidario,1,6,0,
130580,De 5 a 10 años sector financiero popular y solidario,1,6,0,
130585,De más de 10 años sector financiero popular y solidario,1,6,0,
1306,Mantenidas hasta su vencimiento del Estado o de entidades del sector público,1,4,0,
130605,De 1 a 30 días,,,0,
130610,De 31 a 90 días,1,6,0,
130615,De 91 a 180 días,1,6,0,
130620,De 181 días a 1 año,1,6,0,
130625,De 1 a 3 años,1,6,0,
130630,De 3 a 5 años,1,6,0,
130635,De 5 a 10 años,1,6,0,
130640,De más de 10 años,1,6,0,
1307,De disponibilidad restringida,1,4,0,
130705,Entregadas para operaciones de reporto,1,6,0,
130710,Depósitos sujetos a restricción,1,6,0,
130720,Entregados en garantía,1,6,0,
130790,Otros,1,6,0,
1399,(Provisión para inversiones),1,4,0,
139905,(Provisión por deterioro en valuación de inversiones),1,6,0,
139910,(Provisión general para inversiones),1,6,0,
14,CARTERA DE CRÉDITOS,1,2,79334169.71,
1401,Cartera de crédito productivo por vencer,1,4,36412.14,
140105,De 1 a 30 días,,,7322.13,
140110,De 31 a 90 días,1,6,9936.72,
140115,De 91 a 180 días,1,6,9586.52,
140120,De 181 a 360 días,1,6,9565.77,
140125,De más de 360 días,1,6,1,
1402,Cartera de crédito de consumo por vencer,1,4,49504708.02,
140205,De 1 a 30 días,,,1304313.21,
140210,De 31 a 90 días,1,6,2249122.63,
140215,De 91 a 180 días,1,6,3237975.65,
140220,De 181 a 360 días,1,6,6339035.66,
140225,De más de 360 días,1,6,36374260.87,
1403,Cartera de crédito inmobiliario por vencer,1,4,4674458.69,
140305,De 1 a 30 días,,,41582.52,
140310,De 31 a 90 días,1,6,78063.28,
140315,De 91 a 180 días,1,6,117048.74,
140320,De 181 a 360 días,1,6,239489.1,
140325,De más de 360 días,1,6,4198275.05,
1404,Cartera de microcrédito por vencer,1,4,26254749.49,
140405,De 1 a 30 días,,,923795.88,
140410,De 31 a 90 días,1,6,1629867.24,
140415,De 91 a 180 días,1,6,2301075.14,
140420,De 181 a 360 días,1,6,4286275.76,
140425,De más de 360 días,1,6,17113735.47,
1408,Cartera de crédito de vivienda de interés social y público por vencer,1,4,0,
140805,De 1 a 30 días,,,0,
140810,De 31 a 90 días,1,6,0,
140815,De 91 a 180 días,1,6,0,
140820,De 181 a 360 días,1,6,0,
140825,De más de 360 días,1,6,0,
1409,Cartera de crédito productivo refinanciada por vencer,1,4,0,
140905,De 1 a 30 días,,,0,
140910,De 31 a 90 días,1,6,0,
140915,De 91 a 180 días,1,6,0,
140920,De 181 a 360 días,1,6,0,
140925,De más de 360 días,1,6,0,
1410,Cartera de crédito de consumo refinanciada por vencer,1,4,221093.56,
141005,De 1 a 30 días,,,4985.69,
141010,De 31 a 90 días,1,6,6054.52,
141015,De 91 a 180 días,1,6,9775.84,
141020,De 181 a 360 días,1,6,21636.63,
141025,De más de 360 días,1,6,178640.88,
1411,Cartera de crédito inmobiliario refinanciada por vencer,1,4,58096.64,
141105,De 1 a 30 días,,,2241.77,
141110,De 31 a 90 días,1,6,1965.29,
141115,De 91 a 180 días,1,6,4198.38,
141120,De 181 a 360 días,1,6,8650.74,
141125,De más de 360 días,1,6,41040.46,
1412,Cartera de microcrédito refinanciada por vencer,1,4,52076.11,
141205,De 1 a 30 días,,,1041.99,
141210,De 31 a 90 días,1,6,1234.76,
141215,De 91 a 180 días,1,6,6110.88,
141220,De 181 a 360 días,1,6,3882.32,
141225,De más de 360 días,1,6,39806.16,
1416,Cartera de crédito de vivienda de interés social y público refinanciada por vencer,1,4,0,
141605,De 1 a 30 días,,,0,
141610,De 31 a 90 días,1,6,0,
141615,De 91 a 180 días,1,6,0,
141620,De 181 a 360 días,1,6,0,
141625,De más de 360 días,1,6,0,
1417,Cartera de crédito productivo reestructurada por vencer,1,4,0,
141705,De 1 a 30 días,,,0,
141710,De 31 a 90 días,1,6,0,
141715,De 91 a 180 días,1,6,0,
141720,De 181 a 360 días,1,6,0,
141725,De más de 360 días,1,6,0,
1418,Cartera de crédito de consumo reestructurada por vencer,1,4,51634.3,
141805,De 1 a 30 días,,,1459.76,
141810,De 31 a 90 días,1,6,1014.73,
141815,De 91 a 180 días,1,6,1725.3,
141820,De 181 a 360 días,1,6,3724.71,
141825,De más de 360 días,1,6,43709.8,
