CODIGO_CONTABLE,NOMBRE_CUENTA,TIPO,GRUPO,PADRE JULIAN LORENTE LTDA,
1,ACTIVO,1,1,104242884.22,
11,FONDOS DISPONIBLES,1,2,13371105.95,
1101,Caja,1,4,3223332.59,
110105,Efectivo,1,6,3221555.08,
110110,Caja chica,1,6,1777.51,
1103,Bancos y otras instituciones financieras,1,4,10134210.11,
110305,Banco Central del Ecuador,1,6,2424326.94,
110310,Bancos e instituciones financieras locales,1,6,4458554.73,
110315,Bancos e instituciones financieras del exterior,1,6,0,
110320,Instituciones del sector financiero popular y solidario,1,6,3251328.44,
1104,Efectos de cobro inmediato,1,4,13563.25,
110401,Efectos de cobro inmediato,1,6,13563.25,
1105,Remesas en tránsito,1,4,0,
110505,Del país,1,6,0,
110510,Del exterior,1,6,0,
12,OPERACIONES INTERFINANCIERAS,1,2,0,
1201,Fondos interfinancieros vendidos,1,4,0,
120105,Bancos,1,6,0,
120110,Otras instituciones del sistema financiero,1,6,0,
120115,Instituciones del sector financiero popular y solidario,1,6,0,
1202,Operaciones de reporto con instituciones financieras,1,4,0,
120205,Instituciones financieras públicas,1,6,0,
120210,Bancos,1,6,0,
120215,Otras instituciones del sistema financiero,1,6,0,
120220,Instituciones del sector financiero popular y solidario,1,6,0,
1299,(Provisión para operaciones interfinancieras y de reporto),1,4,0,
129905,(Provisión fondos interfinancieros vendidos),1,6,0,
129910,(Provisión para operaciones de reporto con instituciones financieras),1,6,0,
13,INVERSIONES,1,2,7188666.39,
1301,A valor razonable con cambios en el estado de resultados de entidades del sector privado y sector financiero popular y solidario,1,4,0,
130105,De 1 a 30 días sector privado,1,6,0,
130110,De 31 a 90 días sector privado,1,6,0,
130115,De 91 a 180 días sector privado,1,6,0,
130120,De 181 a 360 días sector privado,1,6,0,
130125,De más de 360 días sector privado,1,6,0,
130150,De 1 a 30 días sector financiero popular y solidario,1,6,0,
130155,De 31 a 90 días sector financiero popular y solidario,1,6,0,
130160,De 91 a 180 días sector financiero popular y solidario,1,6,0,
130165,De 181 a 360 días sector financiero popular y solidario,1,6,0,
130170,De más de 360 días sector financiero popular y solidario,1,6,0,
1302,A valor razonable con cambios en el estado de resultados del Estado o de entidades del sector público,1,4,0,
130205,De 1 a 30 días,,,0,
130210,De 31 a 90 días,1,6,0,
130215,De 91 a 180 días,1,6,0,
130220,De 181 a 360 días,1,6,0,
130225,De más de 360 días,1,6,0,
1303,Disponibles para la venta de entidades del sector privado y sector financiero popular y solidario,1,4,0,
130305,De 1 a 30 días sector privado,1,6,0,
130310,De 31 a 90 días sector privado,1,6,0,
130315,De 91 a 180 días sector privado,1,6,0,
130320,De 181 a 360 días sector privado,1,6,0,
130325,De más de 360 días sector privado,1,6,0,
130350,De 1 a 30 días sector financiero popular y solidario,1,6,0,
130355,De 31 a 90 días sector financiero popular y solidario,1,6,0,
130360,De 91 a 180 días sector financiero popular y solidario,1,6,0,
130365,De 181 a 360 días sector financiero popular y solidario,1,6,0,
130370,De más de 360 días sector financiero popular y solidario,1,6,0,
1304,Disponibles para la venta del Estado o de entidades del sector público,1,4,0,
130405,De 1 a 30 días,,,0,
130410,De 31 a 90 días,1,6,0,
130415,De 91 a 180 días,1,6,0,
130420,De 181 a 360 días,1,6,0,
130425,De más de 360 días,1,6,0,
1305,Mantenidas hasta su vencimiento de entidades del sector privado y sector financiero popular y solidario,1,4,7188666.39,
130505,De 1 a 30 días sector privado,1,6,256284.72,
130510,De 31 a 90 días sector privado,1,6,955183.47,
130515,De 91 a 180 días sector privado,1,6,118839.74,
130520,De 181 días a 1 año sector privado,1,6,0,
130525,De 1 a 3 años sector privado,1,6,0,
130530,De 3 a 5 años sector privado,1,6,0,
130535,De 5 a 10 años sector privado,1,6,0,
130540,De más de 10 años sector privado,1,6,0,
130550,De 1 a 30 días sector financiero popular y solidario,1,6,933872.68,
130555,De 31 a 90 días sector financiero popular y solidario,1,6,2492734.43,
130560,De 91 a 180 días sector financiero popular y solidario,1,6,2431751.35,
130565,De 181 días a 1 año sector financiero popular y solidario,1,6,0,
130570,De 1 a 3 años sector financiero popular y solidario,1,6,0,
130575,De 3 a 5 años sector financiero popular y solidario,1,6,0,
130580,De 5 a 10 años sector financiero popular y solidario,1,6,0,
130585,De más de 10 años sector financiero popular y solidario,1,6,0,
1306,Mantenidas hasta su vencimiento del Estado o de entidades del sector público,1,4,0,
130605,De 1 a 30 días,,,0,
130610,De 31 a 90 días,1,6,0,
130615,De 91 a 180 días,1,6,0,
130620,De 181 días a 1 año,1,6,0,
130625,De 1 a 3 años,1,6,0,
130630,De 3 a 5 años,1,6,0,
130635,De 5 a 10 años,1,6,0,
130640,De más de 10 años,1,6,0,
1307,De disponibilidad restringida,1,4,0,
130705,Entregadas para operaciones de reporto,1,6,0,
130710,Depósitos sujetos a restricción,1,6,0,
130720,Entregados en garantía,1,6,0,
130790,Otros,1,6,0,
1399,(Provisión para inversiones),1,4,0,
139905,(Provisión por deterioro en valuación de inversiones),1,6,0,
139910,(Provisión general para inversiones),1,6,0,
14,CARTERA DE CRÉDITOS,1,2,69363258.76,
1401,Cartera de crédito productivo por vencer,1,4,110425.67,
140105,De 1 a 30 días,,,5566.49,
140110,De 31 a 90 días,1,6,9340.6,
140115,De 91 a 180 días,1,6,14243.96,
140120,De 181 a 360 días,1,6,26390.39,
140125,De más de 360 días,1,6,54884.23,
1402,Cartera de crédito de consumo por vencer,1,4,38971879.18,
140205,De 1 a 30 días,,,1116207.01,
140210,De 31 a 90 días,1,6,1878753.92,
140215,De 91 a 180 días,1,6,2769597.84,
140220,De 181 a 360 días,1,6,5231997.79,
140225,De más de 360 días,1,6,27975322.62,
1403,Cartera de crédito inmobiliario por vencer,1,4,5102143.12,
140305,De 1 a 30 días,,,48454.37,
140310,De 31 a 90 días,1,6,84272.47,
140315,De 91 a 180 días,1,6,125197.96,
140320,De 181 a 360 días,1,6,258336.27,
140325,De más de 360 días,1,6,4585882.05,
1404,Cartera de microcrédito por vencer,1,4,26486992.51,
140405,De 1 a 30 días,,,883184.08,
140410,De 31 a 90 días,1,6,1428108.27,
140415,De 91 a 180 días,1,6,2111287.02,
140420,De 181 a 360 días,1,6,4282624.77,
140425,De más de 360 días,1,6,17781788.37,
1408,Cartera de crédito de vivienda de interés social y público por vencer,1,4,0,
140805,De 1 a 30 días,,,0,
140810,De 31 a 90 días,1,6,0,
140815,De 91 a 180 días,1,6,0,
140820,De 181 a 360 días,1,6,0,
140825,De más de 360 días,1,6,0,
1409,Cartera de crédito productivo refinanciada por vencer,1,4,0,
140905,De 1 a 30 días,,,0,
140910,De 31 a 90 días,1,6,0,
140915,De 91 a 180 días,1,6,0,
140920,De 181 a 360 días,1,6,0,
140925,De más de 360 días,1,6,0,
1410,Cartera de crédito de consumo refinanciada por vencer,1,4,233459.82,
141005,De 1 a 30 días,,,4815.1,
141010,De 31 a 90 días,1,6,7098.22,
141015,De 91 a 180 días,1,6,9867.17,
141020,De 181 a 360 días,1,6,19115.07,
141025,De más de 360 días,1,6,192564.26,
1411,Cartera de crédito inmobiliario refinanciada por vencer,1,4,67878.22,
141105,De 1 a 30 días,,,2739.29,
141110,De 31 a 90 días,1,6,2611.83,
141115,De 91 a 180 días,1,6,3217.75,
141120,De 181 a 360 días,1,6,8085.82,
141125,De más de 360 días,1,6,51223.53,
1412,Cartera de microcrédito refinanciada por vencer,1,4,68952.83,
141205,De 1 a 30 días,,,2731.9,
141210,De 31 a 90 días,1,6,1563.16,
141215,De 91 a 180 días,1,6,2836.53,
141220,De 181 a 360 días,1,6,11445.54,
141225,De más de 360 días,1,6,50375.7,
1416,Cartera de crédito de vivienda de interés social y público refinanciada por vencer,1,4,0,
141605,De 1 a 30 días,,,0,
141610,De 31 a 90 días,1,6,0,
141615,De 91 a 180 días,1,6,0,
141620,De 181 a 360 días,1,6,0,
141625,De más de 360 días,1,6,0,
1417,Cartera de crédito productivo reestructurada por vencer,1,4,0,
141705,De 1 a 30 días,,,0,
141710,De 31 a 90 días,1,6,0,
141715,De 91 a 180 días,1,6,0,
141720,De 181 a 360 días,1,6,0,
141725,De más de 360 días,1,6,0,
1418,Cartera de crédito de consumo reestructurada por vencer,1,4,18504.76,
141805,De 1 a 30 días,,,592.95,
141810,De 31 a 90 días,1,6,565.48,
141815,De 91 a 180 días,1,6,734.53,
141820,De 181 a 360 días,1,6,1186.9,
141825,De más de 360 días,1,6,15424.9,
1419,Cartera de crédito inmobiliario reestructurada por vencer,1,4,0,
141905,De 1 a 30 días,,,0,
141910,De 31 a 90 días,1,6,0,
141915,De 91 a 180 días,1,6,0,
141920,De 181 a 360 días,1,6,0,
141925,De más de 360 días,1,6,0,
1420,Cartera de microcrédito reestructurada por vencer,1,4,37520.95,
142005,De 1 a 30 días,,,249.05,
142010,De 31 a 90 días,1,6,506.97,
142015,De 91 a 180 días,1,6,839.03,
142020,De 181 a 360 días,1,6,1676.27,
142025,De más de 360 días,1,6,34249.63,
