CODIGO_CONTABLE,NOMBRE_CUENTA,TIPO,GRUPO,PADRE JULIAN LORENTE LTDA,
1,ACTIVO,1,1,108337156.74,
11,FONDOS DISPONIBLES,1,2,11579853.07,
1101,Caja,1,4,3070950.58,
110105,Efectivo,1,6,3069173.07,
110110,Caja chica,1,6,1777.51,
1103,Bancos y otras instituciones financieras,1,4,8488866.11,
110305,Banco Central del Ecuador,1,6,3304493.2,
110310,Bancos e instituciones financieras locales,1,6,3175430.48,
110315,Bancos e instituciones financieras del exterior,1,6,0,
110320,Instituciones del sector financiero popular y solidario,1,6,2008942.43,
1104,Efectos de cobro inmediato,1,4,20036.38,
110401,Efectos de cobro inmediato,1,6,20036.38,
1105,Remesas en tránsito,1,4,0,
110505,Del país,1,6,0,
110510,Del exterior,1,6,0,
12,OPERACIONES INTERFINANCIERAS,1,2,0,
1201,Fondos interfinancieros vendidos,1,4,0,
120105,Bancos,1,6,0,
120110,Otras instituciones del sistema financiero,1,6,0,
120115,Instituciones del sector financiero popular y solidario,1,6,0,
1202,Operaciones de reporto con instituciones financieras,1,4,0,
120205,Instituciones financieras públicas,1,6,0,
120210,Bancos,1,6,0,
120215,Otras instituciones del sistema financiero,1,6,0,
120220,Instituciones del sector financiero popular y solidario,1,6,0,
1299,(Provisión para operaciones interfinancieras y de reporto),1,4,0,
129905,(Provisión fondos interfinancieros vendidos),1,6,0,
129910,(Provisión para operaciones de reporto con instituciones financieras),1,6,0,
13,INVERSIONES,1,2,8171296.94,
1301,A valor razonable con cambios en el estado de resultados de entidades del sector privado y sector financiero popular y solidario,1,4,0,
130105,De 1 a 30 días sector privado,1,6,0,
130110,De 31 a 90 días sector privado,1,6,0,
130115,De 91 a 180 días sector privado,1,6,0,
130120,De 181 a 360 días sector privado,1,6,0,
130125,De más de 360 días sector privado,1,6,0,
130150,De 1 a 30 días sector financiero popular y solidario,1,6,0,
130155,De 31 a 90 días sector financiero popular y solidario,1,6,0,
130160,De 91 a 180 días sector financiero popular y solidario,1,6,0,
130165,De 181 a 360 días sector financiero popular y solidario,1,6,0,
130170,De más de 360 días sector financiero popular y solidario,1,6,0,
1302,A valor razonable con cambios en el estado de resultados del Estado o de entidades del sector público,1,4,0,
130205,De 1 a 30 días,,,0,
130210,De 31 a 90 días,1,6,0,
130215,De 91 a 180 días,1,6,0,
130220,De 181 a 360 días,1,6,0,
130225,De más de 360 días,1,6,0,
1303,Disponibles para la venta de entidades del sector privado y sector financiero popular y solidario,1,4,0,
130305,De 1 a 30 días sector privado,1,6,0,
130310,De 31 a 90 días sector privado,1,6,0,
130315,De 91 a 180 días sector privado,1,6,0,
130320,De 181 a 360 días sector privado,1,6,0,
130325,De más de 360 días sector privado,1,6,0,
130350,De 1 a 30 días sector financiero popular y solidario,1,6,0,
130355,De 31 a 90 días sector financiero popular y solidario,1,6,0,
130360,De 91 a 180 días sector financiero popular y solidario,1,6,0,
130365,De 181 a 360 días sector financiero popular y solidario,1,6,0,
130370,De más de 360 días sector financiero popular y solidario,1,6,0,
1304,Disponibles para la venta del Estado o de entidades del sector público,1,4,0,
130405,De 1 a 30 días,,,0,
130410,De 31 a 90 días,1,6,0,
130415,De 91 a 180 días,1,6,0,
130420,De 181 a 360 días,1,6,0,
130425,De más de 360 días,1,6,0,
1305,Mantenidas hasta su vencimiento de entidades del sector privado y sector financiero popular y solidario,1,4,8171296.94,
130505,De 1 a 30 días sector privado,1,6,0,
130510,De 31 a 90 días sector privado,1,6,788839.74,
130515,De 91 a 180 días sector privado,1,6,1617381.98,
130520,De 181 días a 1 año sector privado,1,6,0,
130525,De 1 a 3 años sector privado,1,6,0,
130530,De 3 a 5 años sector privado,1,6,0,
130535,De 5 a 10 años sector privado,1,6,0,
130540,De más de 10 años sector privado,1,6,0,
130550,De 1 a 30 días sector financiero popular y solidario,1,6,1053199.31,
130555,De 31 a 90 días sector financiero popular y solidario,1,6,2451429.51,
130560,De 91 a 180 días sector financiero popular y solidario,1,6,2260446.4,
130565,De 181 días a 1 año sector financiero popular y solidario,1,6,0,
130570,De 1 a 3 años sector financiero popular y solidario,1,6,0,
130575,De 3 a 5 años sector financiero popular y solidario,1,6,0,
130580,De 5 a 10 años sector financiero popular y solidario,1,6,0,
130585,De más de 10 años sector financiero popular y solidario,1,6,0,
1306,Mantenidas hasta su vencimiento del Estado o de entidades del sector público,1,4,0,
130605,De 1 a 30 días,,,0,
130610,De 31 a 90 días,1,6,0,
130615,De 91 a 180 días,1,6,0,
130620,De 181 días a 1 año,1,6,0,
130625,De 1 a 3 años,1,6,0,
130630,De 3 a 5 años,1,6,0,
130635,De 5 a 10 años,1,6,0,
130640,De más de 10 años,1,6,0,
1307,De disponibilidad restringida,1,4,0,
130705,Entregadas para operaciones de reporto,1,6,0,
130710,Depósitos sujetos a restricción,1,6,0,
130720,Entregados en garantía,1,6,0,
130790,Otros,1,6,0,
1399,(Provisión para inversiones),1,4,0,
139905,(Provisión por deterioro en valuación de inversiones),1,6,0,
139910,(Provisión general para inversiones),1,6,0,
14,CARTERA DE CRÉDITOS,1,2,74738664.3,
1401,Cartera de crédito productivo por vencer,1,4,92402.46,
140105,De 1 a 30 días,,,6329.67,
140110,De 31 a 90 días,1,6,9614.6,
140115,De 91 a 180 días,1,6,13724.15,
140120,De 181 a 360 días,1,6,24000.43,
140125,De más de 360 días,1,6,38733.61,
1402,Cartera de crédito de consumo por vencer,1,4,45005394.27,
140205,De 1 a 30 días,,,1138258.22,
140210,De 31 a 90 días,1,6,2105776.99,
140215,De 91 a 180 días,1,6,3145865.43,
140220,De 181 a 360 días,1,6,5932160.49,
140225,De más de 360 días,1,6,32683333.14,
1403,Cartera de crédito inmobiliario por vencer,1,4,4861904.23,
140305,De 1 a 30 días,,,40899.97,
140310,De 31 a 90 días,1,6,79138.88,
140315,De 91 a 180 días,1,6,121768.53,
140320,De 181 a 360 días,1,6,246957.42,
140325,De más de 360 días,1,6,4373139.43,
1404,Cartera de microcrédito por vencer,1,4,26201770.01,
140405,De 1 a 30 días,,,856995.53,
140410,De 31 a 90 días,1,6,1440315.17,
140415,De 91 a 180 días,1,6,2425002.08,
140420,De 181 a 360 días,1,6,4385743.41,
140425,De más de 360 días,1,6,17093713.82,
1408,Cartera de crédito de vivienda de interés social y público por vencer,1,4,0,
140805,De 1 a 30 días,,,0,
140810,De 31 a 90 días,1,6,0,
140815,De 91 a 180 días,1,6,0,
140820,De 181 a 360 días,1,6,0,
140825,De más de 360 días,1,6,0,
1409,Cartera de crédito productivo refinanciada por vencer,1,4,0,
140905,De 1 a 30 días,,,0,
140910,De 31 a 90 días,1,6,0,
140915,De 91 a 180 días,1,6,0,
140920,De 181 a 360 días,1,6,0,
140925,De más de 360 días,1,6,0,
1410,Cartera de crédito de consumo refinanciada por vencer,1,4,196186.81,
141005,De 1 a 30 días,,,4096.54,
141010,De 31 a 90 días,1,6,6182.2,
141015,De 91 a 180 días,1,6,9228.29,
141020,De 181 a 360 días,1,6,19319.4,
141025,De más de 360 días,1,6,157360.38,
1411,Cartera de crédito inmobiliario refinanciada por vencer,1,4,62078.01,
141105,De 1 a 30 días,,,2187.8,
141110,De 31 a 90 días,1,6,1913.45,
141115,De 91 a 180 días,1,6,4087.18,
141120,De 181 a 360 días,1,6,8418.57,
141125,De más de 360 días,1,6,45471.01,
1412,Cartera de microcrédito refinanciada por vencer,1,4,58292.06,
141205,De 1 a 30 días,,,1623.41,
141210,De 31 a 90 días,1,6,1743.16,
141215,De 91 a 180 días,1,6,2469.88,
141220,De 181 a 360 días,1,6,9876.72,
141225,De más de 360 días,1,6,42578.89,
1416,Cartera de crédito de vivienda de interés social y público refinanciada por vencer,1,4,0,
141605,De 1 a 30 días,,,0,
141610,De 31 a 90 días,1,6,0,
141615,De 91 a 180 días,1,6,0,
141620,De 181 a 360 días,1,6,0,
141625,De más de 360 días,1,6,0,
1417,Cartera de crédito productivo reestructurada por vencer,1,4,0,
141705,De 1 a 30 días,,,0,
141710,De 31 a 90 días,1,6,0,
141715,De 91 a 180 días,1,6,0,
141720,De 181 a 360 días,1,6,0,
141725,De más de 360 días,1,6,0,
1418,Cartera de crédito de consumo reestructurada por vencer,1,4,52498.11,
141805,De 1 a 30 días,,,704,
141810,De 31 a 90 días,1,6,976.06,
141815,De 91 a 180 días,1,6,1658.24,
141820,De 181 a 360 días,1,6,3578.74,
141825,De más de 360 días,1,6,45581.07,
1419,Cartera de crédito inmobiliario reestructurada por vencer,1,4,0,
141905,De 1 a 30 días,,,0,
141910,De 31 a 90 días,1,6,0,
141915,De 91 a 180 días,1,6,0,
141920,De 181 a 360 días,1,6,0,
141925,De más de 360 días,1,6,0,
1420,Cartera de microcrédito reestructurada por vencer,1,4,36553.53,
142005,De 1 a 30 días,,,337.44,
142010,De 31 a 90 días,1,6,566.23,
142015,De 91 a 180 días,1,6,873.54,
142020,De 181 a 360 días,1,6,1490.72,
142025,De más de 360 días,1,6,33285.6,
1424,Cartera de crédito de vivienda de interés social y público reestructurada por vencer,1,4,0,
142405,De 1 a 30 días,,,0,
142410,De 31 a 90 días,1,6,0,
142415,De 91 a 180 días,1,6,0,
142420,De 181 a 360 días,1,6,0,
142425,De más de 360 días,1,6,0,
1425,Cartera de crédito productivo que no devenga intereses,1,4,0,
142505,De 1 a 30 días,,,0,
142510,De 31 a 90 días,1,6,0,
142515,De 91 a 180 días,1,6,0,
142520,De 181 a 360 días,1,6,0,
142525,De más de 360 días,1,6,0,
