CODIGO_CONTABLE,NOMBRE_CUENTA,TIPO,GRUPO,PADRE JULIAN LORENTE LTDA,
1,ACTIVO,1,1,115569925.04,
11,FONDOS DISPONIBLES,1,2,10629377.19,
1101,Caja,1,4,2967438.83,
110105,Efectivo,1,6,2965661.32,
110110,Caja chica,1,6,1777.51,
1102,Depósitos para encaje,1,4,1666700,
110205,Banco Central del Ecuador,1,6,1666700,
1103,Bancos y otras entidades financieras,1,4,5995133.9,
110305,Banco Central del Ecuador,1,6,2594666.12,
110310,Entidades del sector financiero público y privado,1,6,2112164.76,
110315,Bancos e instituciones financieras del exterior,1,6,0,
110320,Entidades del sector financiero popular y solidario,1,6,1288303.02,
1104,Efectos de cobro inmediato,1,4,104.46,
110401,Efectos de cobro inmediato,1,6,104.46,
1105,Remesas en tránsito / transferencias en tránsito,1,4,0,
110505,Del país,1,6,0,
110510,Del exterior,1,6,0,
110515,Transferencias en tránsito,1,6,,
12,OPERACIONES INTERFINANCIERAS,1,2,0,
1201,Fondos interfinancieros vendidos,1,4,0,
120105,Entidades del sector financiero privado,1,6,0,
120110,Entidades del sector financiero público,1,6,0,
120115,Entidades del sector financiero popular y solidario,1,6,0,
1202,Operaciones de reporto con instituciones financieras,1,4,,
120205,Entidades del sector financiero público,1,6,,
120210,Entidades del sector financiero privado,1,6,,
13,INVERSIONES,1,2,4059809,
1301,A valor razonable con cambios en el estado de resultados de entidades del sector privado y sector financiero popular y solidario,1,4,0,
130105,De 1 a 30 días sector privado,1,6,0,
130110,De 31 a 90 días sector privado,1,6,0,
130115,De 91 a 180 días sector privado,1,6,0,
130120,De 181 a 360 días sector privado,1,6,0,
130125,De más de 360 días sector privado,1,6,0,
130150,De 1 a 30 días sector financiero popular y solidario,1,6,0,
130155,De 31 a 90 días sector financiero popular y solidario,1,6,0,
130160,De 91 a 180 días sector financiero popular y solidario,1,6,0,
130165,De 181 a 360 días sector financiero popular y solidario,1,6,0,
130170,De más de 360 días sector financiero popular y solidario,1,6,0,
1302,A valor razonable con cambios en el estado de resultados del Estado o de entidades del sector público,1,4,0,
130205,De 1 a 30 días,,,0,
130210,De 31 a 90 días,1,6,0,
130215,De 91 a 180 días,1,6,0,
130220,De 181 a 360 días,1,6,0,
130225,De más de 360 días,1,6,0,
1303,Disponibles para la venta de entidades del sector privado y sector financiero popular y solidario,1,4,0,
130305,De 1 a 30 días sector privado,1,6,0,
130310,De 31 a 90 días sector privado,1,6,0,
130315,De 91 a 180 días sector privado,1,6,0,
130320,De 181 a 360 días sector privado,1,6,0,
130325,De más de 360 días sector privado,1,6,0,
130350,De 1 a 30 días sector financiero popular y solidario,1,6,0,
130355,De 31 a 90 días sector financiero popular y solidario,1,6,0,
130360,De 91 a 180 días sector financiero popular y solidario,1,6,0,
130365,De 181 a 360 días sector financiero popular y solidario,1,6,0,
130370,De más de 360 días sector financiero popular y solidario,1,6,0,
1304,Disponibles para la venta del Estado o de entidades del sector público,1,4,0,
130405,De 1 a 30 días,,,0,
130410,De 31 a 90 días,1,6,0,
130415,De 91 a 180 días,1,6,0,
130420,De 181 a 360 días,1,6,0,
130425,De más de 360 días,1,6,0,
1305,Mantenidas hasta su vencimiento de entidades del sector privado y sector financiero popular y solidario,1,4,4059809,
130505,De 1 a 30 días sector privado,1,6,558698.15,
130510,De 31 a 90 días sector privado,1,6,832291.31,
130515,De 91 a 180 días sector privado,1,6,766041.67,
130520,De 181 días a 1 año sector privado,1,6,0,
130525,De 1 a 3 años sector privado,1,6,0,
130530,De 3 a 5 años sector privado,1,6,0,
130535,De 5 a 10 años sector privado,1,6,0,
130540,De más de 10 años sector privado,1,6,0,
130550,De 1 a 30 días sector financiero popular y solidario,1,6,376965.22,
130555,De 31 a 90 días sector financiero popular y solidario,1,6,1070241.54,
130560,De 91 a 180 días sector financiero popular y solidario,1,6,455571.11,
130565,De 181 días a 1 año sector financiero popular y solidario,1,6,0,
130570,De 1 a 3 años sector financiero popular y solidario,1,6,0,
130575,De 3 a 5 años sector financiero popular y solidario,1,6,0,
